"I Feel Like My Life Is Just A Series Of Unrelated Wacky Adventures."  |  Bojack Horseman   |  S00E00
Okay. I don't forgive you. | Herb Kazzaz | S01E08
I'm not gonna give you closure. You have to live with the shitty thing you did for the rest of your life. You have to know that it's never, ever going to be okay! | Herb Kazzaz | S01E08
I'm dying! I'm not gonna feel better! And I'm not gonna be your prop so you can feel better! | Herb Kazzaz | S01E08
I did fine. I had a good life. But what I needed then was... a friend. And you abandoned me. I will never forgive you for that. | Herb Kazzaz | S01E08
You know what your problem is? You want to think of yourself as the good guy. Well, I know you better than anyone, and I can tell you that you're not. In fact, you'd probably sleep a lot better at night if you just admitted to yourself that you're a selfish, goddamn coward who takes whatever he wants, and doesn't give a shit about who he hurts. That's you. That's BoJack Horseman. | Herb Kazzaz | S01E08
Yeah, I'm not seeing it. But that doesn't matter. Not everything's about me. And maybe I am a little jealous. Not because I actually want to date Princess Carolyn anymore... but just because I don't like the idea that I can't. I guess I just assumed I always could. But I made a lot of bad decisions. Not just with her, with everyone, really. | Bojack Horseman | S01E09
You know, sometimes I feel like I was born with a leak, and any goodness I started with just slowly spilled out of me, and now it's all gone. And I'll never get it back in me. It's too late. Life is a series of closing doors, isn't it? | Bojack Horseman | S01E09
I just keep getting pigeonholed as these complex characters in highly acclaimed movies. For once, I would just love to phone it in and play a two-dimensional girl in a rom com with no inner life of her own. That's kind of the reason I got into this business. | Naomi Watts | S01E10
Sometimes I just laugh after he talks, so he'll leave me alone. | Sarah Lynn | S01E11
You know, if we all had guns, then no one would need a gun, and we would all be safe. Oh my God, I think we just solved the gun crisis in America! | Bojack Horseman | S01E11
My question for you is, I am a good kid and I like to play and I like to go to school, but sometimes I get sad. What do you do when you get sad? How do you not be sad? | Bojack Horseman (as kid) | S01E12
When I was your age, I got sad. A lot. I didn't come from such a great home, but one day, I started running and that seemed to make sense, so then I just kept running. BoJack, when you get sad, you run straight ahead a-and you keep running forward, no matter what. There are people in your life who are gonna try to hold you back, slow you down, but you don't let them. Don't you stop running and don't you ever look behind you. There's nothing for you behind you. All that exists is what's ahead. | Secretariat | S01E12
It's not just you, you know. Your father and I, well... you come by it honestly, the ugliness inside of you. You were born broken, that's your birthright. And now you can fill your life with projects... your books and your movies and your little girlfriends, but it won't make you whole. You're BoJack Horseman. There's no cure for that. | Beatrice | S02E01
Your age of stagnation is when you stop growing. For most, it's when they get married, settle into a routine. You meet someone who loves you unconditionally and never challenges you or wants you to change, and then you never change. | Kelsey | S02E02
All I ever wanted was to be your friend... and you treat me like a big joke. You think I don't notice? Why don't you like me? | Mr. Peanutbutter | S02E08
I... want to feel good about myself... the way you do. And I don't know how. I don't know if I can. | Bojack Horseman | S02E08
This is the moment you realize something inside you is broken, and it can never be fixed. | Kelsey | S02E09
Well, why does anything matter, right? Love is an illusion, and happiness is fleeting, and there's no such thing as God, and all your favorite musicians beat their wives. Allegedly. | Diane Nguyen | S02E10
Listen to this guy, "clean it up later." He hasn't picked up his shit in years. | Bojack Horseman | S02E10
I can't be around someone who's just fuelled by bitterness and negativity. | Wanda | S02E10
I wish I could just go home right now and crawl into bed and not have to talk about anything or explain anything. He would just say, "How was your day?" And then he would say, "Hey, did you know the monorail was invented by George Monorail?" And I would say, "I don't think thats true." And he would say, "Well, if he didn't invent it, he certainly perfected it." And I wouldn't have to say "I'm sorry I left. I'm sorry I made things so difficult. I'm sorry I'm not the person I thought I was." I would just say, "My day was good." And he would say, "I love you." | Diane Nguyen | S02E10
Idea for a new app: an undo button that can undo long amounts of time. Three months. A year. A life. One click and everything could just go back to the way it was. | Diane Nguyen | S02E12
I'm not interested in being rebirthed, thank you. I'm still recovering from being birthed the first time. | Bojack Horseman | S03E01
All that matters now is the story. And we get to decide what our story is. Nobody else gets to tell you what your story is. | Ana | S03E01
An Oscar won't make you happy forever, it won't solve all your problems. You win that Oscar, the next day you go back to being you. But that night is a really good night. I think you deserve a really good night. | Ana | S03E01
Sometimes, you need to take responsibility for your own happiness. | Cuddlywhiskers | S03E03
I'm happy, for the first time in my life. And I'm not gonna feel bad about it. It takes a long time to realize how truly miserable you are, and even longer to see that it doesn't have to be that way. | Cuddlywhiskers | S03E03
I stand by my critique of Sartre. His philosophical arguments helped many tyrannical regimes justify overt cruelty. Also, the French smell and I hate them. | Bojack Horseman | S03E04
In this terrifying world, all we have are the connections that we make. I'm sorry I got you fired. I'm sorry I never called you after. | Bojack Horseman | S03E04
Nobody completes anybody. That's not a real thing. If you're lucky enough to find someone you can halfway tolerate, you sink your nails in and you don't let go. No matter what. | Bojack Horseman | S03E05
Yes. Exactly. Settle. Because otherwise you are just going to get older, and harder, and more alone. And you're going to do everything you can to fill that hole, with friends, and your career, and meaningless sex. But the hole doesn't get filled. And one day, you're gonna look around and you're gonna realize, that everybody loves you...but nobody likes you. And that is the loneliest feeling in the world. | Bojack Horseman | S03E05
They're adorable. Not that I value them based on their looks! Because, of course, children in society today are often reduced to their cuteness. I can't wait to get to know your children as people, so I can specifically compliment them individually on the foundation of their characters. | Diane Nguyen | S03E08
You gotta get me out of this thing. This asshole is giving me everything I ask for. What a nightmare. | Bojack Horseman | S03E08
Do you ever look up at the stars and feel like they're tiny holes in the sky, sucking out all the oxygen and suddenly you can't breathe because you're thinking about how small you are and meaningless it all is? | Captain Peanutbutter | S03E08
I do love you by the way, I mean as much as I'm capable of loving anyone, which is never enough. | Bojack Horseman | S03E09
Oh, great, of course! Here it comes! You can't keep doing this! You can't keep doing shitty things and then feel bad about yourself like that makes it okay! You need to be better! | Todd Chavez | S03E10
You are all the things that are wrong with you. It's not the alcohol, or the drugs, or any of the shitty things that happened to you in your career, or when you were a kid, it's you. Alright? It's you. | Todd Chavez | S03E10
Everything sucks! Especially sobriety. Why would I make my body a temple? I've been to temple. Temple is super-boring. | Sarah Lynn | S03E11
After I almost drowned, I decided I would never again be weaker than water. So I became a lifeguard. On my first day of training, my instructor told me that there are going to be times when you'll see someone in trouble. You're going to want to rush in there and do whatever you can to save them. But you have to stop yourself. Because there are some people you can't save. Because those people will thrash and struggle, and try to take you down with them. | Ana Spanikopita | S03E11
See? We're not doomed. In the great grand scheme of things, we're just tiny specks that will one day be forgotten. So it doesn't matter what we did in the past or how we'll be remembered, the only thing that matters is right now, this moment. This one spectacular moment we are sharing together. | Bojack Horseman | S03E11
I don't know how to be, Diane. It doesn't get better and it doesn't get easier. I can't keep lying to myself, saying that I'm going to change. I'm poison. | Bojack Horseman | S03E12
I come from poison. I have poison inside me, and I destroy everything I touch. That's my legacy. I have nothing to show for the life that I've lived, and I have nobody in my life who's better off for having known me. | Bojack Horseman | S03E12
I'm not gay. I mean, I don't think I am, but... I don't think I'm straight, either. I don't know what I am. I think I might be nothing. | Todd Chavez | S03E12
I wouldn't want to be my daughter either. | Bojack Horseman | S04E03
Welcome back, BoJack. It's good to see you. | Todd Chavez | S04E03
Piece of shit. Stupid piece of shit. You're a real stupid piece of shit. But I know I'm a piece of shit. That at least makes me better than all the pieces of shit who don't know they're pieces of shit. Or is it worse? | Bojack Horseman (to himself) | S04E06
Everyday, it gets a little easier. | Jogging Baboon | S02E12
Thank you for that lovely song. But, I'm not a good person. In fact, this is the only good thing I've ever done. And I did it by accident. And it just goes to show you, life is just....ah, what am I saying? I don't have to tell you how hard life is. You're the ones with the dead parents. | Bojack Horseman | S02E12
